,predictors,combination
0,4.0,twq-ts-ndviw-wavai-w
1,4.0,twq-pwm-ts-ndviw-w
2,4.0,pet-bgr-ts-ndviw
3,4.0,pwm-pet-ts-ndviw-w
4,5.0,pwm-pet-tcov-bgr-ts
5,5.0,twq-bgr-ts-ndviw-wavai-w
6,5.0,pet-ai-tcov-bgr-ts
7,5.0,twq-ps-ts-ndviw-wavai-w
8,6.0,twq-ai-bgr-ps-ts-ndviw
9,6.0,twq-yp-pet-tcov-bgr-ts
10,6.0,twq-pwm-tcov-bgr-ts-wavai
11,6.0,tcq-pet-bgr-ts-ndvism-ndviw
12,6.0,yp-pwm-pet-tcov-bgr-ts
13,7.0,yt-twq-pet-bgr-ts-ndvism-ndviw
14,7.0,twq-yp-pwm-pet-tcov-bgr-ts
15,7.0,twq-yp-bgr-ps-ts-ndviw-wavai
16,7.0,twq-pwm-pet-tcov-bgr-ps-ts
17,7.0,twq-pwm-tcov-bgr-ts-ndviw-wavai
18,8.0,twq-tcq-yp-pet-bgr-ts-ndvism-ndviw
19,8.0,twq-tcq-pet-ai-bgr-ts-ndvism-ndviw
20,8.0,twq-tcq-pet-tcov-bgr-ps-ts-ndviw
21,8.0,yt-twq-tcq-pwm-tcov-bgr-ts-wavai-w
22,8.0,twq-yp-pwm-pet-tcov-bgr-ts-ndvif
23,8.0,yt-twq-yp-pet-tcov-bgr-ts-ndvism
24,8.0,twq-pwm-pet-tcov-bgr-ps-ts-ndvism
25,8.0,twq-tcq-yp-pwm-pet-tcov-bgr-ts
26,8.0,twq-yp-bgr-ps-ts-ndvism-ndviw-wavai
27,8.0,twq-tcq-pwm-bgr-ps-ts-ndviw-wavai
28,9.0,twq-tcq-yp-pwm-pet-tcov-bgr-ts-ndvif
29,9.0,tdq-twq-tcq-pwm-tcov-bgr-ts-ndviw-wavai
30,9.0,twq-tcq-yp-bgr-ps-ts-ndvif-ndviw-wavai
31,9.0,twq-tcq-pwm-tcov-bgr-ps-ts-ndviw-wavai
32,9.0,yt-twq-tcq-pet-bgr-ps-ts-ndvism-ndviw
33,10.0,twq-tcq-yp-pwm-pet-tcov-bgr-ts-ndvism-ndviw
34,10.0,twq-tcq-yp-pwm-pet-tcov-bgr-ts-ndvism-wavai
35,10.0,twq-tcq-pwm-ai-bgr-ps-ts-ndvism-ndvif-ndviw
36,11.0,yt-twq-tcq-yp-pwm-pet-tcov-bgr-ps-ts-ndvism
37,11.0,twq-tcq-yp-ai-bgr-ps-ts-ndvism-ndvif-ndviw-wavai
38,11.0,yt-tdq-twq-tcq-yp-pwm-pet-tcov-bgr-ts-ndvif
